STATION,ICAO,L,AT,,LO,NG,,ELEV,M
20 MILE HILL,KTMH,43,7,N,106,20,W,1743,X
A12-CPP SEA,EHAK,55,25,N,3,49,E,50,X
AASIAAT/EGEDESMI,BGAA,68,42,N,52,48,W,41,X
ABADAN INTL AIRP,OIAA,30,22,N,48,15,E,11,X
ABADEH,OISA,31,2,N,52,47,E,2004,X
ABAKAN,UNAA,53,45,N,91,24,E,245,X
ABAKAN,UNKA,53,45,N,91,24,E,245,X
ABBEVILLE (AUT),LFOI,50,8,N,1,50,E,77,X
ABBEVILLE CC MEM,KIYA,29,59,N,92,5,W,5,X
ABBOTSFORD AIRPO,CYXX,49,2,N,122,23,W,58,X
ABBS,OYAS,16,1,N,43,10,E,2000,X
ABECHE,FTTC,13,50,N,20,51,E,549,X
ABEE AGDM,CXAF,54,17,N,112,58,W,664,X
ABERDEEN,KABR,45,27,N,98,25,W,397,X
ABERDEEN/AMORY,KM40,33,52,N,88,29,W,69,X
ABERDEEN/DYCE,EGPD,57,12,N,2,13,W,65,X
ABERDEEN/PHILLIP,KAPG,39,28,N,76,10,W,18,X
ABERPORTH,EGUC,52,7,N,4,34,W,134,X
ABHA,OEAB,18,13,N,42,38,E,2084,X
ABIDJAN/PORT BOU,DIAP,5,15,N,3,55,W,8,X
ABILENE,KK78,38,54,N,97,14,W,352,X
ABILENE,KABI,32,25,N,99,41,W,548,X
ABINGDON,KVJI,36,40,N,82,1,W,631,X
ABONG-MBANG,FKAG,3,58,N,13,11,E,693,X
ABU DHABI INTL,OMAA,24,25,N,54,38,E,27,X
ABU DHABI/BATEEN,OMAD,24,25,N,54,28,E,3,X
ABU SIMBEL (RUIN,HEBL,22,23,N,31,37,E,188,X
ABUJA,DNAA,9,0,N,7,16,E,344,X
ABUMUSA ISLAND,OIBA,25,53,N,55,2,E,7,X
ACAJUTLA/SONSON,MSAC,13,34,N,89,50,W,15,X
ACAPULCO/G. ALVA,MMAA,16,45,N,99,45,W,5,X
ACARIGUA/OSWALDO,SVAC,9,33,N,69,13,W,225,X
ACCRA/KOTOKA INT,DGAA,5,35,N,0,10,W,69,X
ACHMAD YANI,WARS,6,58,S,110,23,E,3,X
ACHMAD YANI (ARM,WIIS,6,58,S,110,22,E,3,X
ADA,KADH,34,48,N,96,40,W,308,X
ADA,DGAD,5,46,N,0,37,E,7,X
ADAK NAS,PADK,51,53,N,176,39,W,4,X
ADANA/INCIRLIK,EQYK,37,0,N,35,26,E,73,X
ADANA/INCIRLIK A,LTAG,37,0,N,35,25,E,66,X
ADANA/SAKIRPASA,LTAF,36,58,N,35,17,E,20,X
ADDENBROKE ISL (,CWCZ,51,36,N,127,52,W,21,X
ADDIS ABABA/BOLE,HAAB,8,58,N,38,47,E,2355,X
ADELAIDE INTL AR,YPAD,34,57,S,138,31,E,4,X
ADELAIDE/PARAFIE,YPPF,34,46,S,138,37,E,16,X
ADEN INTL,OYAA,12,50,N,45,1,E,3,X
ADI SUMARMO WIRY,WARQ,7,31,S,110,45,E,128,X
ADI SUTJIPTO,WARJ,7,47,S,110,26,E,107,X
ADIAKE,DIAD,5,17,N,3,17,W,39,X
ADISUCIPTO/JOGYA,WIIJ,7,46,S,110,25,E,107,X
ADIYAMAN ARPT,LTCP,37,44,N,38,28,E,676,X
ADRAR/TOUAT,DAUA,27,52,N,0,11,W,263,X
ADRIAN,KADG,41,52,N,84,5,W,241,X
AERITALIA,LIMA,45,5,N,7,36,E,287,X
AEROPARQUE(CIV/M,SABE,34,34,S,58,25,W,6,X
AFONSOS ARPT (MI,SBAF,22,52,S,43,22,W,34,X
AFYON (MIL),LTAH,38,45,N,30,31,E,1034,X
AGADEZ SOUTH (MI,DRZA,16,58,N,8,0,E,502,X
AGADIR/INEZGANE,GMAA,30,22,N,9,34,W,23,X
AGANA,PGUM,13,29,N,144,48,E,91,X
AGARTALA,VEAT,23,52,N,91,15,E,16,X
AGASSIZ (AUTO),CWZA,49,15,N,121,46,W,15,X
AGEN/LA GARENNE,LFBA,44,10,N,0,36,E,60,X
